סוג,כתובת,x,y
פח כתום 2500 ל,בן גוריון 40,32.1392731,34.8345288
פח כתום 2500 ל,חטיבת הנגב,32.1381724,34.8308679
פח כתום 2500 ל,השרף 20,32.1384071,34.8332244
פח כתום 2500 ל,איה,32.1401984,34.8261805
פח כתום 2500 ל,עגור,32.1411645,34.8241422
פח כתום 2500 ל,הדיה 2,32.1415745,34.8285118
פח כתום 2500 ל,"האצ""ל השרף",32.1448466,34.8275217
פח כתום 2500 ל,האצל פינת יאיר,32.1451538,34.8293829
פח כתום 2500 ל,יאיר,32.144217,34.8290959
פח כתום 2500 ל,סמטת הנוער,32.1441052,34.8311789
פח כתום 2500 ל,בוסתנאי 35,32.1458234,34.8316554
פח כתום 2500 ל,זבוטינסקי פינת למרחב,32.1474182,34.8334446
פח כתום 2500 ל,בוסתנאי 2,32.1488851,34.8327729
פח כתום 2500 ל,יצחק אלחנן 13,32.1499384,34.8311549
פח כתום 2500 ל,קרית יערים,32.152457,34.832032
פח כתום 2500 ל,קהילת וילנה 26,32.1511481,34.8303564
פח כתום 2500 ל,קהילת וילנה 2,32.1485919,34.8272907
פח כתום 2500 ל,זבוטנסקי ליד חווה,32.1484498,34.8266952
פח כתום 2500 ל,הבנים 50,32.1430527,34.8326431
פח כתום 2500 ל,בית ספר גולן,32.1441328,34.8328499
פח כתום 2500 ל,זלמן שניאור,32.147586,34.838297
פח כתום 2500 ל,אלי כהן 12,32.147586,34.838297
פח כתום 2500 ל,המעפילים פינת המרי,32.1514097,34.8380611
פח כתום 2500 ל,כצנלסון פינת יבנה,32.150963,34.839519
פח כתום 2500 ל,יבנה פינת אוסישקין,32.1496866,34.8465546
פח כתום 2500 ל,נחל השור,32.1411415,34.8815464
פח כתום 2500 ל,אוסישקין 120,32.1487467,34.8462671
פח כתום 2500 ל,"אז""ר 36",32.147368,34.844607
פח כתום 2500 ל,"אוסישקין פינת אז""ר",32.147105,34.845427
פח כתום 2500 ל,הירדן פינת אילון,32.137793,34.840278
פח כתום 2500 ל,הנצח ליד מכון הביוב,32.1533676,34.8154112
פח כתום 2500 ל,בן שלום פינת השילוח,32.146627,34.847323
פח כתום 2500 ל,"המחתרת פינת הפלמ""ח",32.1463279,34.8431947
פח כתום 2500 ל,"המצח פינת תע""ש",32.142721,34.846917
פח כתום 2500 ל,הנצח בית העלמין,32.1407392,34.8462536
פח כתום 2500 ל,בן חיים אוסישקין,32.1377973,34.8414564
פח כתום 2500 ל,ברק פינת יותם,32.138283,34.842299
פח כתום 2500 ל,ויתקיון ליד המקלט,32.136512,34.847159
פח כתום 2500 ל,ארלוזורוב בחניה,32.1362445,34.8514314
פח כתום 2500 ל,"בית הילל ליד מד""ע",32.134038,34.856562
פח כתום 2500 ל,שבי ציון פינת עזרא,32.133937,34.8625282
פח כתום 2500 ל,החלוץ פינת יגאל אלון,32.130936,34.85897
פח כתום 2500 ל,יהודה הנשיא,32.133819,34.8551436
פח כתום 2500 ל,שבטי ישראל 102,32.129566,34.8519412
פח כתום 2500 ל,הגפן 36,32.1295408,34.8460684
פח כתום 2500 ל,התומר פינת הרצוג,32.13325,34.8469093
פח כתום 2500 ל,הרצוג ליד בית הכנסת,32.1341294,34.8489093
פח כתום 2500 ל,מוריה 20,32.1437965,34.8367996
פח כתום 2500 ל,זרובבל גני ילדים,32.1425555,34.8332524
