סוג,כתובת,x,y
נייר,אוסישקין פינת געתון,32.146585,34.845188
נייר,אורבוך פינת בועז,32.142024,34.840383
נייר,אזר פינת סוקולוב,32.148944,34.8398804
נייר,אלכסנדרוני,32.131305,34.8631441
נייר,ארלוזורוב,32.1362445,34.8514314
נייר,"בית הילל ליד מד""א",32.134038,34.856562
נייר,בן גוריון 40,32.1392731,34.8345288
נייר,ברק פינת בן חיים,32.1376515,34.8418762
נייר,גורדון בחניה,32.1372883,34.8455717
נייר,דבורה הנביאה פינת בן נון,32.141327,34.83943
נייר,הגפן 36,32.1295408,34.8460684
נייר,הדיה פינת הנשר,32.1414448,34.8284598
נייר,הטבק 17,32.1495415,34.8421373
נייר,הירדן פינת בנימיני,32.145731,34.846192
נייר,המכלים פינת אסף,32.1318891,34.8468546
נייר,המעפילים 7,32.1517787,34.8368551
נייר,המעפילים פינת תירוש,32.1513439,34.8383084
נייר,הנצח בכיכר,32.1374446,34.8433168
נייר,הסייפן פינת י.ל פרץ,32.134245,34.840891
נייר,הקוצר,32.142947,34.841696
נייר,הרב קוק פינת ריינס,32.1346144,34.850425
נייר,הרצוג,32.133798,34.848124
נייר,השופטים פינת הנוטר,32.140408,34.844225
נייר,השחף,32.142833,34.8266344
נייר,השילוח פינת אילון,32.146093,34.847107
נייר,זבוטנסקי ליד חווה,32.1484498,34.8266952
נייר,זבוטינסקי פינת למרחב,32.1474182,34.8334446
נייר,זלמן שניאור,32.147586,34.838297
נייר,מוריה 22,32.1440848,34.8369611
נייר,נורדאו 13,32.1324755,32.1324755
נייר,סמטת שושן,32.1349146,34.8387148
נייר,עגור,32.1411645,34.8241422
נייר,עזרא פינת אלחריזי,32.131802,34.859869
נייר,פלמח פינת המחתרת,32.14648,34.8428605
נייר,קרית הצעירים,32.1314054,34.8517238
נייר,שבטי ישראל פינת הסייפן,32.134274,34.8407185
נייר,שמואל הנגיד 2,32.1312063,34.8550368
