סוג,כתובת,x,y
פח סגול,אוסישקין 92,32.1467098,34.8454491
פח סגול,איה 5,32.1405519,34.8243223
פח סגול,ארלוזורוב 10,32.1363557,34.851595
פח סגול,בית גוברין 1,32.1287922,34.8519463
פח סגול,בית הלל 9,32.13582,34.852818
פח סגול,בן שלום 24,32.1465527,34.8473639
פח סגול,דוד בן גוריון 42,32.1393195,34.8346912
פח סגול,הבאר 4,32.1245598,34.8183681
פח סגול,הגפן 36,32.1295408,34.8460684
פח סגול,החרש 1,32.1367891,34.8436645
פח סגול,הטבק 17,32.1502642,34.8423126
פח סגול,המעפילים 7,32.151785,34.8371773
פח סגול,הנצח 23,32.1403437,34.8461005
פח סגול,הנרייטה סולד 36,32.1401597,34.8395461
פח סגול,הרב אוורבוך 19,32.1420779,34.8405722
פח סגול,הרב קוק/הרב ריינס,32.1346144,34.850425
פח סגול,השחף 1,32.1435386,34.8273013
פח סגול,התומר 47,32.1320396,34.8464561
פח סגול,ויתקין 31,32.1365788,34.8476278
פח סגול,זבוטינסקי 3,32.1471128,34.8330209
פח סגול,חטיבת אלכסנדרוני 1,32.1304486,34.8635481
פח סגול,יצחק אלחנן/הנץ,32.1493674,34.8309526
פח סגול,למרחב 83,32.1438783,34.831045
פח סגול,מוריה 18,32.1435379,34.8365531
פח סגול,ערוגות 329,32.1347397,34.8462186
פח סגול,שבטי ישראל 102,32.129566,34.8519412
פח סגול,שבי ציון 54,32.1338898,34.8625163
